Act Title,PDF URL
"Federal Lands Commissioner, Malaysia (Incorporation) Act 1959",https://sso.agc.gov.sg/Act/FLCMIA1959?ViewType=Pdf&_=20230420164907
Feeding Stuffs Act 1965,https://sso.agc.gov.sg/Act/FSA1965?ViewType=Pdf&_=20240812203915
Fees Act 1920,https://sso.agc.gov.sg/Act/FeA1920?ViewType=Pdf&_=20241205125035
Films Act 1981,https://sso.agc.gov.sg/Act/FA1981?ViewType=Pdf&_=20250102154150
Finance Companies Act 1967,https://sso.agc.gov.sg/Act/FCA1967?ViewType=Pdf&_=20240731033234
Financial Advisers Act 2001,https://sso.agc.gov.sg/Act/FAA2001?ViewType=Pdf&_=20250318190919
Financial Holding Companies Act 2013,https://sso.agc.gov.sg/Act/FHCA2013?ViewType=Pdf&_=20250403160141
Financial Procedure Act 1966,https://sso.agc.gov.sg/Act/FPA1966?ViewType=Pdf&_=20240226181133
Financial Services and Markets Act 2022,https://sso.agc.gov.sg/Act/FSMA2022?ViewType=Pdf&_=20250531035025
Fire Safety Act 1993,https://sso.agc.gov.sg/Act/FSA1993?ViewType=Pdf&_=20241205120807
Fisheries Act 1966,https://sso.agc.gov.sg/Act/FA1966?ViewType=Pdf&_=20240814125854
Food Safety and Security Act 2025,https://sso.agc.gov.sg/Act/FSSA2025?ViewType=Pdf&_=20250529133547
Foreign Employee Dormitories Act 2015,https://sso.agc.gov.sg/Act/FEDA2015?ViewType=Pdf&_=20250102161918
Foreign Interference (Countermeasures) Act 2021,https://sso.agc.gov.sg/Act/FICA2021?ViewType=Pdf&_=20241227213819
Foreign Limitation Periods Act 2012,https://sso.agc.gov.sg/Act/FLPA2012?ViewType=Pdf&_=20240307023721
Foreign National Emblems  (Control of Display) Act 1949,https://sso.agc.gov.sg/Act/FNECDA1949?ViewType=Pdf&_=20240918201300
Foreign Recruiting Act 1875,https://sso.agc.gov.sg/Act/FRA1875?ViewType=Pdf&_=20240313115549
Foreshores Act 1920,https://sso.agc.gov.sg/Act/FA1920?ViewType=Pdf&_=20250509142000
Franciscan Missionaries of the Divine Motherhood Ordinance 1954,https://sso.agc.gov.sg/Act/FMDMO1954?ViewType=Pdf&_=20240313115549
Free Trade Zones Act 1966,https://sso.agc.gov.sg/Act/FTZA1966?ViewType=Pdf&_=20241205153413
Frustrated Contracts Act 1959,https://sso.agc.gov.sg/Act/FCA1959?ViewType=Pdf&_=20240313115549
Gambling Control Act 2022,https://sso.agc.gov.sg/Act/GCA2022?ViewType=Pdf&_=20250529133751
Gambling Duties Act 2022,https://sso.agc.gov.sg/Act/GDA2022?ViewType=Pdf&_=20250523134022
Gambling Regulatory Authority of Singapore Act 2022,https://sso.agc.gov.sg/Act/GRASA2022?ViewType=Pdf&_=20250308190407
Gas Act 2001,https://sso.agc.gov.sg/Act/GA2001?ViewType=Pdf&_=20240731030931
Geneva Conventions Act 1973,https://sso.agc.gov.sg/Act/GCA1973?ViewType=Pdf&_=20240613205029
Geographical Indications Act 2014,https://sso.agc.gov.sg/Act/GIA2014?ViewType=Pdf&_=20250403160141
Good Samaritan Food Donation Act 2024,https://sso.agc.gov.sg/Act/GSFDA2024?ViewType=Pdf&_=20241205180515
Good Shepherd Nuns Ordinance 1958,https://sso.agc.gov.sg/Act/GSNO1958?ViewType=Pdf&_=20240916202448
Goods and Services Tax Act 1993,https://sso.agc.gov.sg/Act/GSTA1993?ViewType=Pdf&_=20250308213736
Goods and Services Tax Voucher Fund Act 2012,https://sso.agc.gov.sg/Act/GSTVFA2012?ViewType=Pdf&_=20250529133611
Government Contracts Act 1966,https://sso.agc.gov.sg/Act/GCA1966?ViewType=Pdf&_=20240719172923
Government Proceedings Act 1956,https://sso.agc.gov.sg/Act/GPA1956?ViewType=Pdf&_=20250505154616
Government Procurement Act 1997,https://sso.agc.gov.sg/Act/GPA1997?ViewType=Pdf&_=20241004121833
Government Securities (Debt Market and Investment) Act 1992,https://sso.agc.gov.sg/Act/GSDMIA1992?ViewType=Pdf&_=20240719124114
Government Technology Agency Act 2016,https://sso.agc.gov.sg/Act/GTAA2016?ViewType=Pdf&_=20250507210956
Guardianship of Infants Act 1934,https://sso.agc.gov.sg/Act/GIA1934?ViewType=Pdf&_=20241205153413
